Class,Tree,Weapon,Stat,Id,Name,Branch,Tier,Type,Cost,Requires,Effect,Payoff,UnlockAction,CustomEffectId
Warrior,Iron Discipline,Sword,AGI,w-mastery,Sword Mastery,Command,3,Mastery,14,w-opening,"Sword hits against Exposed enemies advance two slots; against Marked enemies, advance zero.",Status choice accelerates or holds the strip.,,sword_mastery
Warrior,Iron Discipline,Sword,AGI,w-wind,Second Wind,Guard,4,Passive,21,w-bulwark,Ending a combo without missing heals 8% max HP and converts leftover Focus into Fortify.,Clean execution sustains long dungeons.,,second_wind
Warrior,Iron Discipline,Sword,AGI,w-line,Unbroken Line,Confluence,4,Rule,21,"w-flow, w-mastery","Once per fight, hold a slot when the strip would reset. Reaching the Finisher from that hold retriggers the opener.","Salvage, routing, and acceleration can form a controlled loop.",,unbroken_line
Rogue,Shadowcraft,Dagger,TECH,r-root,Shadowcraft,Core,0,Passive,0,,Your first connected Dagger action Marks the enemy. Hitting another target moves the Mark.,Target commitment becomes the core Rogue rule.,,shadowcraft
Rogue,Shadowcraft,Dagger,TECH,r-edge,Envenomed Edge,Venom,1,Passive,4,r-root,Dagger hits convert one Poison stack into two Bleed; critical hits convert two.,Trade status duration for action-triggered burst.,,envenomed_edge
Rogue,Shadowcraft,Dagger,TECH,r-ghost,Ghost Step,Evasion,1,Passive,4,r-root,"After a miss, gain miss salvage and skip the next strip slot on your following connect.",Failure can intentionally route around an awkward action.,,ghost_step
Rogue,Shadowcraft,Dagger,TECH,r-snake,Snake Eyes,Precision,1,Rule,4,r-root,"Natural 2 and 12 grant Loaded. At 2 Loaded, replace the next roll with 20.",Exact faces create a slow probability engine.,,snake_eyes
Rogue,Shadowcraft,Dagger,TECH,r-hemo,Hemorrhage,Venom,2,Passive,8,r-edge,"When Bleed ticks, apply Expose for one turn; if already Exposed, add Armor Break.",Enemy speed changes the debuff payoff window.,,hemorrhage
Rogue,Shadowcraft,Dagger,TECH,r-misdirect,Misdirect,Evasion,2,Action,8,r-ghost,"Low damage. On connect, replace the next strip action with the most recent action that missed.",Failure becomes a selectable combo component.,MISDIRECT,misdirect
Rogue,Shadowcraft,Dagger,TECH,r-loaded,Loaded Dice,Precision,2,Action,8,r-snake,"Replace the next natural roll with 6, 12, or 18 based on this action's strip slot.",Strip placement controls deterministic trigger faces.,LOADED DICE,loaded_dice
Rogue,Shadowcraft,Dagger,TECH,r-ledger,Toxic Ledger,Venom,3,Rule,14,r-hemo,Each different DoT on the Mark adds +10% Finisher damage; the Finisher consumes the shortest DoT.,Curate mixtures and durations instead of one maximum stack.,,toxic_ledger
Rogue,Shadowcraft,Dagger,TECH,r-debt,Technical Debt,Evasion,3,Rule,14,r-misdirect,Distinct action tags add Debt. Repeating a tag cashes all Debt into Expose stacks.,Players author their own setup and cash-out cycle.,,technical_debt
Rogue,Shadowcraft,Dagger,TECH,r-mastery,Dagger Mastery,Precision,3,Mastery,14,r-loaded,"Only the final multihit applies status, but it applies once per prior hit.",Multihit count becomes a controlled status amplifier.,,dagger_mastery
Rogue,Shadowcraft,Dagger,TECH,r-witness,No Witnesses,Evasion,4,Passive,21,r-debt,Killing a Marked enemy retriggers the opener and preserves one miss-salvage charge.,Room sequencing and overkill become strip planning.,,no_witnesses
Rogue,Shadowcraft,Dagger,TECH,r-crime,Perfect Crime,Confluence,4,Rule,21,"r-ledger, r-mastery","On Marked death, copy the shortest DoT and highest debuff to the next enemy; resume after the Finisher.",Status and routing persist as a room-to-room engine.,,perfect_crime
Wizard,Arcane Weave,Wand,INT,z-root,Arcane Weave,Core,0,Passive,0,,The first elemental status each fight grants Focus and +1 temporary INT. A different element refreshes it.,Element variety starts the Wizard engine.,,arcane_weave
Wizard,Arcane Weave,Wand,INT,z-kindle,Kindle,Elements,1,Passive,4,z-root,Burn on a Poisoned enemy consumes one Poison to add Acid and +1 Burn.,Cross-class Poison becomes an elemental reagent.,,kindle
Wizard,Arcane Weave,Wand,INT,z-memory,Spell Memory,Echo,1,Rule,4,z-root,Repeating a tag adds AMP and action length. Changing tags cashes AMP onto the new action and clears both.,Choose how long to charge repetition before pivoting.,,spell_memory
Wizard,Arcane Weave,Wand,INT,z-prime,Prime Theory,Probability,1,Passive,4,z-root,"Natural prime faces grant Theorem. At 3 Theorems, the next non-prime roll explodes.",Roll history matters without removing randomness.,,prime_theory
Wizard,Arcane Weave,Wand,INT,z-shock,Thermal Shock,Elements,2,Passive,8,z-kindle,Slow on Burning consumes both to Stun; Burn on Slowed instead adds Vulnerability.,Element order chooses control or damage.,,thermal_shock
Wizard,Arcane Weave,Wand,INT,z-echo,Echo Spell,Echo,2,Action,8,z-memory,"On Combo, retrigger the previous spell slot; on a normal hit, repeat the next slot instead.",The roll band selects backward or forward routing.,ECHO SPELL,echo_spell
Wizard,Arcane Weave,Wand,INT,z-fate,Rewrite Fate,Probability,2,Action,8,z-prime,"Spend all Theorems. Replace the next natural roll with 5 + 5 per Theorem, capped at 20.",Probability control becomes a visible timing resource.,REWRITE FATE,rewrite_fate
Wizard,Arcane Weave,Wand,INT,z-catalyst,Catalyst,Elements,3,Mastery,14,z-shock,"Acid armor loss becomes Burn, Poison, or Focus according to current slot modulo 3.",Armor and strip position choose the reaction output.,,catalyst
Wizard,Arcane Weave,Wand,INT,z-channel,Channel,Echo,3,Action,14,z-echo,"Bank +50% AMP and -20% speed onto the next action; if it misses, preserve half.","A risky setup can target damage, status, or a retrigger.",CHANNEL,channel
Wizard,Arcane Weave,Wand,INT,z-analysis,Dungeon Analysis,Probability,3,Passive,14,z-fate,Record the prior room's common roll band. The first roll in another band next room gains advantage.,Observed randomness informs the next room's opening.,,dungeon_analysis
Wizard,Arcane Weave,Wand,INT,z-mastery,Wand Mastery,Echo,4,Mastery,21,z-channel,The Wand bonus slot copies opener tags and Finisher cadence bonuses.,The extra slot becomes a programmable bridge.,,wand_mastery
Wizard,Arcane Weave,Wand,INT,z-equation,Grand Equation,Confluence,4,Rule,21,"z-catalyst, z-analysis","Once per combo, natural roll + strip slot = 21 retriggers the opener with current elemental statuses.","Roll math, strip construction, reactions, and echoes converge.",,grand_equation
